sap,employee,cashier,locality,area,coordinate,night_acceptance,night_display,cash_desks,store_concept,tobacco_shop,dominators,universal_assortment
0a580b9f-a14f-330e-68b5-e2b4a6324308,0.22448979591836735,0.17142857142857143,Иссад,0.1689748201438849,"(60.060774, 32.349834)",0,0,0.14285714285714285,0,0.36363636363636365,1,0.047619047619047616
d5550e7f-a3a1-1d3b-ef9b-70b18c83a369,0.16326530612244897,0.2571428571428571,"Ям-Тёсово, д",0.1768884892086331,"(58.892744, 30.579128)",0,0,0.07142857142857142,1,0.2727272727272727,1,0.047619047619047616
17ea7b2e-466c-c436-8131-6ce625fcc137,0.30612244897959184,0.45714285714285713,Санкт-Петербург,0.30305755395683454,"(59.938955, 30.315644)",0,1,0.2857142857142857,0,0.36363636363636365,1,0.2857142857142857
0cd6e919-0c68-9964-6659-319011e690ad,0.20408163265306123,0.34285714285714286,Тверь,0.44244604316546765,"(56.859625, 35.91186)",0,0,0.14285714285714285,1,0.09090909090909091,1,0.5238095238095238
b15864d7-429e-bc1e-8baf-86747849741a,0.10204081632653061,0.22857142857142856,п.Важины,0.1873201438848921,"(60.96301, 34.025722)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
f42f1364-1490-5a9f-690c-bfd99d0f474d,0.30612244897959184,0.2,г.Петрозаводск,0.3695143884892086,"(61.785021, 34.346878)",0,0,0.14285714285714285,1,0.09090909090909091,1,0.5238095238095238
13b44333-0243-4f77-2fb7-11f52735dbab,0.14285714285714285,0.22857142857142856,Извара,0.2446043165467626,"(59.353214, 29.524048)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.2857142857142857
460f02bf-34de-a9d1-62bb-0a2e48ca7556,0.14285714285714285,0.17142857142857143,Подпорожье,0.1873201438848921,"(60.912097, 34.167952)",0,0,0.07142857142857142,0,0.18181818181818182,1,0.047619047619047616
d127bba1-bc3e-33d6-317a-4835cbc73fca,0.16326530612244897,0.2857142857142857,Пено,0.24550359712230216,"(56.922894, 32.742595)",0,0,0.14285714285714285,0,0.2727272727272727,1,0.2857142857142857
8bf0ea17-997e-7622-8158-981d59b558c7,0.14285714285714285,0.3142857142857143,Старица,0.21762589928057555,"(56.514927, 34.933586)",0,0,0.14285714285714285,1,0.09090909090909091,1,0.2857142857142857
e2925dd4-1cb1-4a35-0c85-65c54f367b56,0.14285714285714285,0.2,Волхов,0.2751798561151079,"(59.900543, 32.352681)",0,0,0.07142857142857142,0,0.2727272727272727,1,0.2857142857142857
2b98c4b4-90ea-4d7d-9ff2-31b63ca311fc,0.16326530612244897,0.2571428571428571,Кириши,0.19343525179856116,"(59.449695, 32.008716)",0,0,0.14285714285714285,1,0.36363636363636365,1,0.047619047619047616
c38ffd5d-929c-5c56-64a2-31b3697bb133,0.46938775510204084,0.4,Сертолово,0.5305755395683454,"(60.143531, 30.217179)",0,1,0.2857142857142857,0,0.09090909090909091,1,0.7619047619047619
04dd8327-0cfc-e975-92b9-14c5a49cf55c,0.22448979591836735,0.22857142857142856,Выскатка,0.2077338129496403,"(59.020417, 28.183573)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.047619047619047616
aefea74c-6d04-a7ec-237b-c4822908fb5d,0.12244897959183673,0.22857142857142856,Лодейное Поле,0.1910071942446043,"(60.734305, 33.543183)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.047619047619047616
c70ef3f2-a1ec-f060-0598-8f31c93f39c6,0.2653061224489796,0.2,Новосокольники,0.28992805755395684,"(56.347424, 30.152896)",0,0,0.14285714285714285,1,0.09090909090909091,1,0.2857142857142857
776fe8d9-e928-3345-a528-7d2e1c4925f4,0.24489795918367346,0.5142857142857142,Санкт-Петербург,0.3210431654676259,"(59.938955, 30.315644)",0,0,0.21428571428571427,1,0.09090909090909091,1,0.047619047619047616
ec632bf9-a187-b1ce-ebac-f6681299c890,0.20408163265306123,0.34285714285714286,Ржев,0.23741007194244604,"(56.263017, 34.334419)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.2857142857142857
303c3a9b-3ad3-9d2a-ad54-2349ed890af6,0.14285714285714285,0.3142857142857143,Яжелбицы,0.28507194244604317,"(58.033634, 32.973794)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
d3a44387-2a24-def5-ba05-7ab6063948e4,0.2857142857142857,0.2571428571428571,Сланцы,0.3147482014388489,"(59.11779, 28.088145)",0,0,0.14285714285714285,1,0.2727272727272727,1,0.2857142857142857
090c469e-027a-2151-0343-0d8a7e29fe4c,0.24489795918367346,0.2571428571428571,Санкт-Петербург,0.6223021582733813,"(59.938955, 30.315644)",0,1,0.21428571428571427,1,0.09090909090909091,1,0.7619047619047619
69ee3ca1-6d3f-cc08-d696-2052a71158c6,0.32653061224489793,0.45714285714285713,Санкт-Петербург,0.3231115107913669,"(59.938955, 30.315644)",0,0,0.21428571428571427,1,0.0,1,0.2857142857142857
74e124bc-3992-d8a8-d514-12aa31ff15fa,0.2857142857142857,0.2,Всеволожск,0.17401079136690648,"(60.024626, 30.645873)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.047619047619047616
3bc588e0-0f95-b0e0-b326-de4da436198a,0.24489795918367346,0.22857142857142856,п.Палкино ,0.2356115107913669,"(57.540656, 28.009012)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.2857142857142857
618a1c0c-cdbf-d469-a8f5-13733f214635,0.3877551020408163,0.3142857142857143,Колпино,0.5882194244604316,"(59.748564, 30.595657)",0,1,0.21428571428571427,1,0.45454545454545453,1,0.2857142857142857
ec55dab7-e09f-7e4a-7006-8a737e4b5390,0.16326530612244897,0.2857142857142857,Псков,0.1733812949640288,"(57.819274, 28.33246)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
c799e66b-113e-fa3b-da35-233cb39f5676,0.12244897959183673,0.17142857142857143,Лодейное Поле,0.19991007194244606,"(60.734305, 33.543183)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.047619047619047616
1a04b81e-47ae-3aa1-1de1-f6cfdf0c08be,0.14285714285714285,0.2857142857142857,Калязин,0.1393884892086331,"(57.241069, 37.828308)",0,0,0.07142857142857142,1,0.18181818181818182,1,0.047619047619047616
9a1f3995-6130-b9de-40ac-3ef9865fbd50,0.20408163265306123,0.17142857142857143,Холм,0.24829136690647485,"(57.148835, 31.181835)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.2857142857142857
91174cdb-e51c-6c33-dbf4-1adbcfa3d818,0.22448979591836735,0.3142857142857143,Крестцы,0.25503597122302163,"(58.247673, 32.522822)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.2857142857142857
bd769832-9563-3e26-a79e-2120a7f67874,0.4489795918367347,0.22857142857142856,Тверь,0.7302158273381295,"(56.859625, 35.91186)",1,1,0.2857142857142857,0,0.09090909090909091,1,0.7619047619047619
1b707fc8-da1a-991e-d8b7-aaae2d6e1d37,0.2653061224489796,0.2571428571428571,Псков,0.16241007194244603,"(57.819274, 28.33246)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
99b96302-6f51-ef5f-b0ba-a6baa79d53f1,0.22448979591836735,0.3142857142857143,Гатчина,0.24820143884892087,"(59.56841, 30.122892)",0,0,0.14285714285714285,1,0.09090909090909091,1,0.2857142857142857
045af141-72d1-3163-f9ef-cea8af3547fb,0.20408163265306123,0.2,Пикалево,0.24820143884892087,"(59.512684, 34.177483)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.2857142857142857
f5e9b20e-034b-6bd5-57a4-2e106c377445,0.14285714285714285,0.2571428571428571,Подпорожье,0.19424460431654678,"(60.912097, 34.167952)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
4b644290-fb47-f73a-515a-5ac42c790c99,0.24489795918367346,0.42857142857142855,Санкт-Петербург,0.17625899280575538,"(59.938955, 30.315644)",0,0,0.14285714285714285,0,0.36363636363636365,1,0.047619047619047616
19b47eaa-e9c5-2630-3567-7bcd6faef25b,0.20408163265306123,0.42857142857142855,Санкт-Петербург,0.2068345323741007,"(59.938955, 30.315644)",0,0,0.07142857142857142,1,0.2727272727272727,1,0.047619047619047616
ceda00ff-feda-f1e8-0219-d46dc60538f8,0.1836734693877551,0.22857142857142856,Осташков,0.2670863309352518,"(57.15605, 33.102873)",0,0,0.14285714285714285,0,0.09090909090909091,1,0.2857142857142857
02736e8d-b1e2-59b1-192f-24507afe889e,0.2653061224489796,0.34285714285714286,Мончегорск,0.30305755395683454,"(67.938921, 32.937071)",0,1,0.07142857142857142,1,0.0,1,0.2857142857142857
8b60be5c-457f-7edc-66b0-9f0d747f0c1b,0.30612244897959184,0.22857142857142856,Стрельна п.,0.45143884892086333,"(59.853356, 30.033797)",0,1,0.21428571428571427,0,0.09090909090909091,1,0.5238095238095238
e02d6b4c-7b68-e02f-fca6-7fdff6f49022,0.22448979591836735,0.34285714285714286,Малое Верево,0.4091726618705036,"(59.61404, 30.164745)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.5238095238095238
e5df4af1-340a-20f5-ab70-3aa255ae9271,0.24489795918367346,0.4,Никольское,0.24010791366906475,"(59.704574, 30.78681)",0,0,0.14285714285714285,1,0.09090909090909091,1,0.2857142857142857
9291c107-90b9-1403-a031-51fcdf1035d3,0.14285714285714285,0.2571428571428571,Спирово,0.18345323741007194,"(57.425534, 34.995785)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
2f1be864-2631-f008-1efd-805bc5778540,0.24489795918367346,0.37142857142857144,Санкт-Петербург,0.34802158273381295,"(59.938955, 30.315644)",0,1,0.14285714285714285,1,0.36363636363636365,0,0.5238095238095238
77fba6ea-1f0e-631f-93c8-8aaa20b2cbd6,0.24489795918367346,0.2571428571428571,Кулотино,0.18408273381294962,"(58.455781, 33.367391)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.047619047619047616
e0908bfe-6227-3933-7d53-ea045ba0f123,0.5918367346938775,0.2857142857142857,Санкт-Петербург,0.335431654676259,"(59.938955, 30.315644)",1,0,0.42857142857142855,1,0.09090909090909091,1,0.2857142857142857
