sap,type_meal,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,ИЮЛ 2021
460f02bf-34de-a9d1-62bb-0a2e48ca7556,Фрукты/Экзотика,0.07177455473732802,0.08589152891008496,0.06737304444383763,0.051363498583483984,0.054150967541889014,0.06355074709855683,0.0556982655092528,0.039761044534650875,0.06023727789187539,0.11684658801559933,0.09474946866121074,0.07675018488883273,0.0634238085928235,0.08148532733849131,0.06858908237340022,0.04403270154621569,0.04500395376269544,0.036008104895597706,0.027838953239737466,0.02868005873071678,0.04757760187228777
460f02bf-34de-a9d1-62bb-0a2e48ca7556,Фрукты/Ягоды,0.05966112724261263,0.05114551570733856,0.047796613080980335,0.04089869292426728,0.06402794780691694,0.08476801426870577,0.0802848956521294,0.13318526455554527,0.14093654171279285,0.1250823133795165,0.08464069566172923,0.06264894151493756,0.07039333541788896,0.05817715537653085,0.061628116431716395,0.04933663556805408,0.05702827556736442,0.058050523579037026,0.05755035997452563,0.08008381306853367,0.09949747285075868
822090b0-2101-c838-08f7-fa0593de834f,Овощи/Грибы,0.042194948328365095,0.04876905501662617,0.041657797669297246,0.042851674294867685,0.05968401300569427,0.07183749190464371,0.085393766968227,0.09881641614968958,0.08413491261455579,0.06714972161082447,0.04947979334011648,0.04479141879038806,0.03987611122094483,0.05212524113597708,0.04825361690945298,0.04650658167609176,0.042197904522223786,0.04782622373782296,0.07113251310932368,0.09618255144971787,0.08211497056993473
822090b0-2101-c838-08f7-fa0593de834f,Овощи/Зелень,0.028723968978619237,0.035315430046470364,0.032469712694858904,0.030157092320154615,0.049321270999169595,0.07062329254561073,0.07050148847852704,0.08082624039431426,0.08879368955884652,0.09102103528892654,0.049209089202524724,0.0398151691154117,0.032419239540577585,0.04024660296909902,0.045534613292740174,0.04125359245670963,0.04514115171844183,0.05182350230881683,0.06923215860910906,0.08782897612671663,0.10035488164776077
822090b0-2101-c838-08f7-fa0593de834f,Фрукты/Экзотика,0.05683426444100728,0.05822092361214459,0.04412879833555246,0.033919117953598615,0.03771189518966942,0.055350162704945555,0.04036045224534494,0.0387612963978456,0.05306867580015668,0.08253564091848949,0.055599833503253766,0.059942582741062844,0.051023980829156525,0.05412456618591601,0.055240433369718844,0.03293287951725371,0.027111375661893068,0.027095226499156046,0.030269489669844104,0.03326808507413644,0.05925336693878497
822090b0-2101-c838-08f7-fa0593de834f,Фрукты/Ягоды,0.03967213017282089,0.03510571025733091,0.03881128212931896,0.03597583346280472,0.0533847724073427,0.07960313131673395,0.08096613039841229,0.14165675596725932,0.13294303217824271,0.11712213507010553,0.07409877417419793,0.06306786917154661,0.05129688029888664,0.0487734117104396,0.05847883780318136,0.0485405500834072,0.04661284741119466,0.0485579832473175,0.053850163338042996,0.09529503012621271,0.15203344144764636
2b98c4b4-90ea-4d7d-9ff2-31b63ca311fc,Овощи/Грибы,0.13324666938910507,0.12293675911932511,0.13100035350357303,0.1223715430558712,0.17061204192945453,0.1446569294803994,0.13969040237076583,0.15516815662714695,0.12014067410677134,0.09833904134815144,0.09435817670618674,0.10912894414191984,0.12681643111218477,0.1440611659803266,0.1297915208031193,0.07509264317552672,0.23926303435390003,0.27050161703347464,0.2900215608722631,0.25608019227132395,0.22266793802688692
2b98c4b4-90ea-4d7d-9ff2-31b63ca311fc,Овощи/Зелень,0.06756397514984688,0.0645514210098744,0.06569166917885719,0.06307333321704432,0.09600328800201077,0.09357586857068942,0.07572144051832982,0.08170793314480541,0.08930367507193603,0.09488836904619831,0.06850566163424715,0.06430824596405234,0.07038676672168102,0.07448348577773635,0.06863147701956322,0.034645710146049356,0.11369866592854566,0.12126862805973693,0.11860453771318327,0.11034077231312522,0.14144876791602165
2b98c4b4-90ea-4d7d-9ff2-31b63ca311fc,Фрукты/Экзотика,0.11272872634729565,0.1148959113779796,0.10048526152478456,0.08275655908152035,0.07413945450683095,0.08533649250743844,0.055907924166125965,0.04666155502963427,0.05900781662231056,0.10695365031566059,0.09420822439529951,0.10441679466662777,0.11915419932087114,0.13780626656681394,0.11052587146562348,0.03615302827459618,0.09657765949441667,0.08547562359445883,0.06551645730754989,0.06120425460718621,0.10324459885193414
2b98c4b4-90ea-4d7d-9ff2-31b63ca311fc,Фрукты/Ягоды,0.10601712027841369,0.08209662040212004,0.09430759224891277,0.08562824266908564,0.11569035645972946,0.1297936409923883,0.11440950625528985,0.1685923882987689,0.17333209534575217,0.1799234224942107,0.11502494410188144,0.09366002499994859,0.11874485011627596,0.09343071459119666,0.103276693439073,0.05496455989410971,0.1419179440133774,0.14337518006960182,0.13826985656307245,0.15990717135593105,0.24408098109191437
aefea74c-6d04-a7ec-237b-c4822908fb5d,Овощи/Грибы,0.055470462616753174,0.05155370045432793,0.04670759956215496,0.047085803569689826,0.06490779883718055,0.06510251643164797,0.07422462503615072,0.07632693687640578,0.056746897571624745,0.04504001067498753,0.0383229600885486,0.04806830502878308,0.04843481161597757,0.051300977668655906,0.0432616728627038,0.04532297077669297,0.03716617162109254,0.04338935912639711,0.055081588559861984,0.060544071395138746,0.052699852848426335
aefea74c-6d04-a7ec-237b-c4822908fb5d,Овощи/Зелень,0.03264365238605517,0.03734293377387235,0.033324266676688245,0.03208872741276146,0.04590900332291523,0.05453244480980526,0.049562037534363605,0.05487894886050378,0.05757356103561396,0.060552385523137874,0.03675178542885588,0.036489755984126696,0.0400829581239828,0.039465740851686595,0.04028458800663224,0.03554651598630089,0.039959572873027496,0.039311737498478654,0.03903519898633567,0.04582348701934639,0.05738176468195195
aefea74c-6d04-a7ec-237b-c4822908fb5d,Фрукты/Экзотика,0.046651566649195446,0.056575867630960994,0.04455052380372454,0.03932348706477896,0.04468884746349749,0.04833102809963622,0.035980529903492015,0.026736173471098558,0.05100776711923792,0.08870238121732636,0.07101543402422922,0.06482652040805709,0.0568106426771544,0.05822123365987251,0.04818369128222751,0.03612957659386212,0.03179967186289243,0.026187754724979955,0.015378842594234055,0.019421880732243504,0.04371464231448867
